ESTADO;CANTIDAD;PERIODO;DELEGACION
ALTAS;0;01-2018;ONCATIVO 0560                 
BAJAS;0;02-2018;ONCATIVO 0560                 
BAJAS;0;05-2018;ONCATIVO 0560                 
BAJAS;0;07-2018;ONCATIVO 0560                 
BAJAS;0;08-2018;ONCATIVO 0560                 
BAJAS;0;01-2018;RIO CUARTO 0546               
BAJAS;0;02-2018;RIO CUARTO 0546               
BAJAS;0;05-2018;RIO CUARTO 0546               
BAJAS;0;06-2018;RIO CUARTO 0546               
BAJAS;0;07-2018;RIO CUARTO 0546               
BAJAS;0;08-2018;RIO CUARTO 0546               
BAJAS;0;01-2018;RIO SEGUNDO 0704
BAJAS;0;02-2018;RIO SEGUNDO 0704
BAJAS;0;03-2018;RIO SEGUNDO 0704
BAJAS;0;04-2018;RIO SEGUNDO 0704
BAJAS;0;06-2018;RIO SEGUNDO 0704
BAJAS;0;08-2018;RIO SEGUNDO 0704
BAJAS;0;07-2018;RIO TERCERO 0547              
BAJAS;0;01-2018;SAN FRANCISCO 0548            
BAJAS;0;02-2018;SAN FRANCISCO 0548            
BAJAS;0;03-2018;SAN FRANCISCO 0548            
BAJAS;0;04-2018;SAN FRANCISCO 0548            
BAJAS;0;05-2018;SAN FRANCISCO 0548            
BAJAS;0;06-2018;SAN FRANCISCO 0548            
BAJAS;0;07-2018;SAN FRANCISCO 0548            
BAJAS;0;08-2018;SAN FRANCISCO 0548            
BAJAS;0;02-2018;VILLA CARLOS PAZ 0561         
BAJAS;0;03-2018;VILLA CARLOS PAZ 0561         
BAJAS;0;04-2018;VILLA CARLOS PAZ 0561         
BAJAS;0;06-2018;VILLA CARLOS PAZ 0561         
BAJAS;0;07-2018;VILLA CARLOS PAZ 0561         
BAJAS;0;01-2018;VILLA DOLORES 0549            
BAJAS;0;02-2018;VILLA DOLORES 0549            
BAJAS;0;03-2018;VILLA DOLORES 0549            
BAJAS;0;04-2018;VILLA DOLORES 0549            
BAJAS;0;05-2018;VILLA DOLORES 0549            
BAJAS;0;07-2018;VILLA DOLORES 0549            
BAJAS;0;08-2018;VILLA DOLORES 0549            
